i1.38,-0.63,-4.06
u2,0,0.00
i1.13,-0.63,-4.00
u3,2926,50.45
i1.06,-0.63,-3.94
u4,5065,87.33
i1.13,-0.63,-4.00
u5,1570,27.07
i1.19,-0.63,-4.00
u6,6736,116.14
i1.38,-0.63,-4.00
u7,0,0.00
i1.50,-0.63,-4.00
u0,6622,114.17
i1.44,-0.56,-4.00
u1,1529,26.36
i1.38,-0.56,-4.06
u2,4210,72.59
i1.44,-0.56,-4.13
u3,0,0.00
i1.44,-0.56,-4.13
u4,11330,195.34
i1.38,-0.56,-4.00
u5,1564,26.97
i1.38,-0.56,-4.00
